ML2035IP	from hqew, 正润电子	MICROLINE	10+	1227	DIP
ML4803CP2	from hqew, 正润电子	Fairchild	10+	1209	DIP
MM74HC245ASJ	from hqew, 正润电子	FAIRCHILD	1151+	6000	SOP20
MPC506AU	from hqew, 正润电子	TI	10+	531	SIO
MT8809AP	from hqew, 正润电子	MITEI	10+	1210	PLCC
MT8980DE	from hqew, 正润电子	MT	10+	1231	DIP40
MT9123AP	from hqew, 正润电子	MITEI	0546+	200	PLCC28
MT9172AP	from hqew, 正润电子	MITEI	10+	1208	PLCC
MX7543JN	from hqew, 正润电子	MAX	10+	630	DIP16
M48T18-100MH1	from hqew, 正润电子	ST	10+	1206	SOP
M5M51008DFP-70H	from hqew, 正润电子	RENESAS	04+	536	SOP32
MAX1259CWE	from hqew, 正润电子	MAX	10+	852	SOP
MAX1406CPE	from hqew, 正润电子	MAX	10+	1205	DIP16
MAX1624EAG	from hqew, 正润电子	MAX	10+	1210	SSOP24
MAX1638EAG	from hqew, 正润电子	MAX	10+	800	SOP24
MAX1813EEI	from hqew, 正润电子	MAX	10+	1224	SSOP28
MAX197AEAI	from hqew, 正润电子	MAX	10+	425	SOP28
MAX275AEWP	from hqew, 正润电子	MAX	10+	15	SOP20
MAX291CSA	from hqew, 正润电子	MAX	10+	1667	SOP8
MAX3089ESD	from hqew, 正润电子	MAXIM	10+	1025	SOP
MAX3157CAI	from hqew, 正润电子	MAX	10+	1213	SOP28
MAX3185CWP	from hqew, 正润电子	MAXIM	10+	2170	SOP
MAX3227CAE	from hqew, 正润电子	MAXIM	10+	1020	SOP
MAX3232ECPE	from hqew, 正润电子	MAX	10+	1206	DIP16
MAX325ESA	from hqew, 正润电子	MAX	10+	1205	SOP8
MAX3385ECAP	from hqew, 正润电子	MAX	10+	1214	SOP20
MAX3485EESA	from hqew, 正润电子	MAXIM	10+	800	SOP
MAX355EWE	from hqew, 正润电子	MAX	10+	1223	SOP16
MAX382CWN	from hqew, 正润电子	MAX	10+	1209	SOP16
MAX393CPE	from hqew, 正润电子	MAX	10+	1112	DIP16
MAX4042ESA	from hqew, 正润电子	MAX	10+	1219	SOP8
MAX4326ESA	from hqew, 正润电子	MAX	1217+	2000	SOP8
MAX4372FESA	from hqew, 正润电子	MAX	10+	1208	SOP8
MAX478CSA	from hqew, 正润电子	MAX	10+	1223	SOP8
MAX480EPA	from hqew, 正润电子	MAX	10+	1219	DIP8
MAX487EPA	from hqew, 正润电子	MAX	10+	1206	DIP8
MAX497CSE	from hqew, 正润电子	MAX	10+	12	SOP16
MAX516ACWG	from hqew, 正润电子	MAX	10+	1225	SOP24
MAX560CAI	from hqew, 正润电子	MAX	10+	1206	SOP28
MAX563CWN	from hqew, 正润电子	MAX	10+	1205	SOP18
MAX627CPA	from hqew, 正润电子	MAX	10+	226	DIP8
MAX6302CSA	from hqew, 正润电子	MAX	10+	1206	SOP8
MAX633ACSA	from hqew, 正润电子	MAX	10+	1216	SOP8
MAX634CPA	from hqew, 正润电子	MAX	10+	1109	DIP8
MAX655ESD	from hqew, 正润电子	MAX	10+	1205	SOP14
MAX662AEPA	from hqew, 正润电子	MAX	10+	228	DIP8
MAX731CPA	from hqew, 正润电子	MAX	10+	615	DIP8
MAX737CWE	from hqew, 正润电子	MAX	10+	1210	SOP16
MAX7452ESA	from hqew, 正润电子	MAX	10+	1209	SOP8
MAX746CSE	from hqew, 正润电子	MAX	10+	1205	SOP16
MAX750ACSA	from hqew, 正润电子	MAX	10+	1210	SOP8
MAX778CSA	from hqew, 正润电子	MAX	10+	1224	SOP8
MAX8212CPA	from hqew, 正润电子	MAX	10+	1222	DIP8
MAX875CPA	from hqew, 正润电子	MAX	10+	609	DIP
MAX900BCWP	from hqew, 正润电子	MAX	10+	1208	SOP20
MAX902ESD	from hqew, 正润电子	MAX	10+	1210	SOP14
MAX903ESA	from hqew, 正润电子	MAX	10+	121	SOP8
MAX911CWG	from hqew, 正润电子	MAX	10+	1211	SOP24
MAX934ESE	from hqew, 正润电子	MAX	10+	1220	SOP
MAX993ESD	from hqew, 正润电子	MAX	10+	1205	SOP
NCP1200P100	from hqew, 正润电子	ON SEMI	0844+	84	DIP
NE5534D	from hqew, 正润电子	PHILIPS	10+	213	SOP
NE556D	from hqew, 正润电子	ST	11+	6532	SOP-14
OPA642U	from hqew, 正润电子	TI	10+	223	SOP
P28F010-150	from hqew, 正润电子	INT	10+	617	DIP32
PBL38710/1	from hqew, 正润电子	PHILIPS	10+	1205	PLCC
